sensor_id,x,y,z,zone_id,grottoe_id
A01,-5.244267,21.50429,0.6310487,2,10
A02,-2.097981,22.11,0.422,2,10
A03,0.771,22.279,0.6310487,2,10
A04,3.212552,22.279,0.422,2,10
A05,-1.741277,21.14138,0.422,2,10
A06,1.151,21.18415,0.5775825,2,10
A07,-5.297249,17.288,0.4545642,1,10
A08,-3.48767,17.288,0.51,1,10
A09,2.719281,17.568,0.4762087,1,10
A10,4.339156,17.568,0.5,1,10
A11,-4.653871,15.058,0.4,1,10
A12,-1.319,15.058,0.149,1,10
A13,1.281,15.058,0.19,1,10
A14,3.560633,15.018,0.2260262,1,10
A15,-4.649,12.26124,0.33,1,10
A16,-2.269,12.44792,0.3,1,10
A17,2.271,12.57629,0.59,1,10
A18,4.546652,12.91234,0.4882399,1,10
A19,-5.428993,9.334,0.1,0,10
A20,-2.22,9.34,0.192,0,10
A21,2.474,9.349,0.117,0,10
A22,4.714,9.268,0.414,0,10
A23,-5.446503,5.652,0.1,0,10
A24,-2.02,5.537601,0.364,0,10
A25,1.774,5.092,0.135,0,10
A26,4.774,4.973,0.237,0,10
A27,-5.407714,2.974274,0.2297638,0,10
A28,-2.147118,2.789057,0.2297638,0,10
A29,1.969,2.071,0.414,0,10
A30,5.204,2.09,0.414,0,10
A31,-5.04,-1.385,0,0,10
A32,-2.64,-1.29,-0.7,0,10
A33,1.02,-1.29,0,0,10
A35,-4.877114,-3.735676,0.25,0,10
A36,0.171947,-3.930387,0.25,0,10
A37,1.02,-3.930387,0.25,0,10
A38,5.320386,-3.774225,0.366637,0,10
A44,20.52,-1.32,0.306,0,9
A45,17.989,2.367,0.176,0,9
A46,17.073,5.395,0.176,0,9
A47,5.305,9.398,-0.252,0,9
A48,9.548,9.378,-0.279,0,9
A49,12.16,9.418,-0.238,0,9
A50,16.926,8.68,0.176,0,9
A51,6.279,11.826,0.155,1,9
A52,9.579,11.522,-0.155,1,9
A53,12.196,11.193,-0.019,1,9
A54,16.315,11.826,0.551,1,9
A56,8.12,15.94,0.551,1,9
A57,14.48,15.94,0.551,1,9
A59,5.609,20.378,0.551,1,9
A60,6.299,21.035,0.32,1,9
A61,13.749,21.595,0.311,1,9
A62,15.229,21.915,0.331,1,9
A63,8.349,22.635,0.321,2,9
A64,12.039,22.665,0.318,2,9
A65,5.069,23.585,0.331,2,9
A66,8.349,24.285,0.311,2,9
A67,12.039,24.285,0.321,2,9
A68,15.229,24.285,0.321,2,9
A69,5.577,6.356,-0.252,0,9
AB01,-5.444267,21.50429,1.632,2,10
AB02,-2.097981,22.279,1.442,2,10
AB03,0.776,22.259,1.522,2,10
AB04,3.212552,22.279,1.462,2,10
AB05,-1.741277,20.701,1.442,2,10
AB06,1.151,20.86245,1.712,2,10
AB07,5.069,23.585,1.41,2,9
AB08,8.349,24.285,1.413,2,9
AB09,12.039,24.285,1.42,2,9
AB10,15.229,24.285,1.398,2,9
AB11,8.349,22.635,1.414,2,9
AB12,12.039,22.665,1.411,2,9
B01,-5.23,21.14,2.892,2,10
B02,-1.689,22.279,2.572,2,10
B03,0.77,22.279,2.892,2,10
B04,3.204,22.279,2.382,2,10
B05,-1.689,20.701,2.872,2,10
B06,1.151,20.86245,2.89,2,10
B07,-5.381845,17.396,3.409,1,10
B08,-2.645728,17.396,3.409,1,10
B09,2.211947,17.478,3.409,1,10
B10,4.438061,17.478,3.409,1,10
B11,-4.551,14.936,3.409,1,10
B12,-1.26014,16.006,3.409,1,10
B13,1.668354,15.84712,3.409,1,10
B14,3.890577,15.028,3.409,1,10
B15,-5.034,11.856,3.216,1,10
B16,-1.961,12.52472,3.409,1,10
B17,2.871,12.72136,3.409,1,10
B18,4.654357,12.82867,3.409,1,10
